   name,Character,r0le,TITLE,  Type,release Year,genres,imdb sc0re,imdb v0tes
Robert De Niro,Travis Bickle,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Jodie Foster,Iris Steensma,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Albert Brooks,Tom,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Harvey Keitel,Matthew 'Sport' Higgins,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Cybill Shepherd,Betsy,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Peter Boyle,Wizard,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Leonard Harris,Senator Charles Palantine,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Diahnne Abbott,Concession Girl,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Gino Ardito,Policeman at Rally,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Martin Scorsese,Passenger Watching Silhouette,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Murray Moston,Iris' Time Keeper,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Richard Higgs,Secret Service Agent,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Bill Minkin,Tom's Assistant (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Bob Maroff,Mafioso (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Victor Argo,"Melio, Delicatessen Owner",ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Joe Spinell,Personell Officer,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Robinson Frank Adu,Angry Black Man (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Brenda Dickson,Soap Opera Woman (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Norman Matlock,Charlie T,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Harry Northup,Doughboy,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Harlan Cary Poe,Campaign Worker (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Steven Prince,Andy - Gun Salesman,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Peter Savage,The John,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Nicholas Shields,Palantine's Aide (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Annie Gagen,Campaign Worker (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Carson Grant,Political rallier (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Mary-Pat Green,Campaign Aide (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
